iter	Passed	Remaining
0	1	1219
1	1	754
2	1	613
3	2	546
4	2	497
5	2	457
6	3	439
7	3	420
8	3	403
9	3	390
10	4	385
11	4	376
12	4	369
13	5	362
14	5	357
15	5	352
16	6	349
17	6	346
18	6	342
19	6	338
20	7	334
21	8	357
22	8	352
23	8	350
24	8	345
25	9	341
26	9	337
27	9	337
28	9	334
29	10	333
30	10	329
31	10	327
32	11	325
33	11	322
34	11	319
35	11	317
36	12	314
37	12	314
38	12	312
39	12	311
40	13	309
41	13	309
42	13	307
43	14	305
44	14	304
45	14	304
46	14	304
47	15	302
48	15	302
49	15	301
50	16	300
51	16	298
52	16	297
53	16	296
54	17	297
55	17	296
56	17	295
57	18	294
58	18	293
59	18	292
60	18	291
61	19	290
62	19	289
63	19	289
64	20	288
65	20	287
66	20	286
67	20	285
68	21	286
69	21	285
70	21	284
71	22	283
72	22	282
73	22	282
74	22	281
75	23	280
76	23	279
77	23	278
78	23	277
79	24	276
80	24	276
81	24	275
82	24	273
83	25	272
84	25	272
85	25	271
86	25	271
87	26	270
88	26	275
89	27	275
90	27	274
91	27	274
92	28	274
93	28	273
94	28	273
95	28	272
96	29	272
97	29	271
98	29	271
99	30	270
100	30	269
101	30	269
102	30	268
103	31	267
104	31	267
105	31	266
106	31	266
107	32	265
108	32	265
109	32	264
110	33	264
111	33	263
112	33	263
113	33	263
114	34	262
115	34	261
116	34	261
117	34	260
118	35	260
119	35	260
120	35	259
121	35	258
122	36	257
123	36	257
124	36	257
125	37	257
126	37	256
127	37	256
128	37	255
129	38	254
130	38	254
131	38	253
132	38	253
133	39	253
134	39	252
135	39	252
136	39	251
137	40	251
138	40	251
139	40	250
140	41	250
141	41	249
142	41	248
143	41	248
144	42	248
145	42	247
146	42	247
147	42	246
148	43	246
149	43	246
150	43	245
151	44	245
152	44	244
153	44	244
154	44	243
155	44	243
156	45	242
157	45	242
158	45	242
159	46	242
160	46	241
161	46	240
162	46	240
163	47	240
164	47	239
165	47	239
166	47	238
167	48	238
168	48	237
169	48	237
170	48	237
171	49	237
172	49	237
173	49	236
174	50	236
175	50	235
176	50	235
177	50	234
178	51	234
179	51	234
180	51	233
181	51	233
182	52	233
183	52	233
184	52	232
185	53	232
186	53	232
187	53	231
188	53	231
189	54	230
190	54	230
191	54	230
192	54	229
193	55	229
194	55	229
195	55	228
196	56	228
197	56	227
198	56	227
199	56	227
200	57	227
201	57	226
202	57	226
203	57	226
204	58	226
205	58	225
206	58	225
207	59	225
208	59	224
209	59	224
210	60	224
211	60	224
212	60	224
213	61	224
214	61	223
215	62	225
216	62	225
217	62	225
218	62	224
219	63	224
220	63	223
221	63	223
222	63	222
223	64	222
224	64	222
225	64	221
226	65	221
227	65	221
228	65	221
229	65	220
230	66	220
231	66	219
232	66	219
233	66	219
234	67	218
235	67	218
236	67	218
237	68	217
238	68	217
239	68	217
240	68	216
241	69	216
242	69	216
243	69	216
244	70	215
245	70	215
246	70	215
247	70	214
248	71	214
249	71	213
250	71	213
251	71	213
252	72	212
253	72	212
254	72	212
255	72	211
256	73	211
257	73	211
258	73	210
259	73	210
260	74	210
261	74	210
262	74	209
263	75	209
264	75	208
265	75	208
266	75	208
267	76	207
268	76	207
269	76	207
270	77	208
271	77	208
272	78	207
273	78	207
274	78	207
275	78	206
276	79	206
277	79	206
278	79	205
279	79	205
280	80	204
281	80	204
282	80	204
283	80	203
284	81	203
285	81	203
286	81	202
287	81	202
288	82	202
289	82	202
290	82	201
291	83	201
292	83	201
293	83	200
294	83	200
295	84	200
296	84	200
297	84	199
298	85	199
299	85	199
300	85	198
301	85	198
302	86	198
303	86	197
304	86	197
305	86	197
306	87	197
307	87	196
308	87	196
309	88	196
310	88	195
311	88	195
312	88	195
313	89	194
314	89	194
315	89	194
316	89	193
317	90	193
318	90	193
319	90	192
320	91	192
321	91	192
322	91	191
323	91	191
324	92	191
325	92	190
326	92	190
327	93	190
328	93	190
329	93	189
330	93	189
331	94	189
332	94	189
333	94	188
334	94	188
335	95	188
336	95	187
337	95	187
338	96	187
339	96	186
340	96	186
341	96	186
342	97	186
343	97	185
344	97	185
345	97	185
346	98	184
347	98	184
348	98	184
349	98	183
350	99	183
351	99	183
352	99	182
353	99	182
354	100	182
355	100	181
356	100	181
357	101	181
358	101	180
359	101	180
360	101	180
361	102	179
362	102	179
363	102	179
364	102	178
365	103	178
366	103	178
367	103	178
368	103	177
369	104	177
370	104	177
371	104	176
372	104	176
373	105	176
374	105	175
375	105	175
376	106	175
377	106	174
378	106	174
379	106	174
380	107	173
381	107	173
382	107	173
383	107	172
384	108	172
385	108	172
386	108	172
387	108	171
388	109	171
389	109	171
390	109	171
391	110	170
392	110	170
393	110	170
394	110	169
395	111	169
396	111	169
397	111	168
398	112	168
399	112	168
400	112	168
401	112	167
402	114	169
403	114	168
404	114	168
405	114	168
406	115	167
407	115	167
408	115	167
409	115	166
410	116	166
411	116	166
412	116	165
413	116	165
414	117	165
415	117	164
416	117	164
417	118	164
418	118	163
419	118	163
420	118	163
421	119	163
422	119	162
423	119	162
424	119	162
425	120	161
426	120	161
427	120	161
428	120	160
429	121	160
430	121	160
431	121	159
432	121	159
433	122	159
434	122	159
435	122	158
436	123	158
437	123	158
438	123	157
439	123	157
440	124	157
441	124	157
442	124	156
443	124	156
444	125	156
445	125	155
446	125	155
447	126	155
448	126	155
449	126	154
450	126	154
451	127	154
452	127	153
453	127	153
454	127	153
455	128	152
456	128	152
457	128	152
458	128	151
459	129	151
460	129	151
461	129	151
462	130	150
463	130	150
464	130	150
465	130	149
466	131	149
467	131	149
468	131	149
469	131	148
470	132	148
471	132	148
472	132	147
473	132	147
474	133	147
475	133	146
476	133	146
477	133	146
478	134	146
479	134	145
480	134	145
481	135	145
482	135	144
483	135	144
484	135	144
485	136	143
486	136	143
487	136	143
488	136	143
489	137	142
490	137	142
491	137	142
492	137	141
493	138	141
494	138	141
495	138	140
496	138	140
497	139	140
498	139	140
499	139	139
500	140	139
501	140	139
502	140	138
503	140	138
504	141	138
505	141	138
506	141	138
507	142	137
508	142	137
509	142	137
510	142	136
511	143	136
512	143	136
513	143	135
514	144	135
515	144	135
516	144	135
517	144	134
518	145	134
519	145	134
520	145	133
521	145	133
522	146	133
523	147	133
524	147	133
525	147	133
526	147	132
527	148	132
528	148	132
529	148	131
530	148	131
531	149	131
532	149	130
533	149	130
534	150	130
535	150	130
536	150	129
537	150	129
538	150	129
539	151	128
540	151	128
541	151	128
542	151	127
543	152	127
544	152	127
545	152	126
546	152	126
547	153	126
548	153	126
549	153	125
550	153	125
551	154	125
552	154	124
553	154	124
554	155	124
555	155	124
556	155	123
557	155	123
558	156	123
559	156	122
560	156	122
561	156	122
562	157	122
563	157	121
564	157	121
565	158	121
566	158	120
567	158	120
568	158	120
569	159	120
570	159	119
571	159	119
572	159	119
573	160	118
574	160	118
575	160	118
576	160	118
577	161	117
578	161	117
579	161	117
580	162	116
581	162	116
582	162	116
583	162	115
584	163	115
585	163	115
586	163	115
587	163	114
588	164	114
589	164	114
590	164	113
591	164	113
592	165	113
593	165	113
594	165	112
595	165	112
596	166	112
597	166	111
598	166	111
599	167	111
600	167	111
601	167	110
602	167	110
603	168	110
604	168	110
605	168	109
606	169	109
607	169	109
608	169	108
609	169	108
610	170	108
611	170	107
612	170	107
613	170	107
614	171	107
615	171	106
616	171	106
617	172	106
618	172	106
619	172	105
620	172	105
621	173	105
622	173	104
623	173	104
624	174	104
625	174	104
626	174	103
627	174	103
628	175	103
629	175	103
630	175	102
631	175	102
632	176	102
633	176	101
634	176	101
635	176	101
636	177	100
637	177	100
638	177	100
639	178	100
640	178	99
641	178	99
642	178	99
643	179	99
644	179	98
645	179	98
646	179	98
647	180	97
648	180	97
649	180	97
650	180	97
651	181	96
652	181	96
653	181	96
654	181	95
655	182	95
656	182	95
657	182	94
658	183	94
659	183	94
660	183	94
661	183	93
662	184	93
663	184	93
664	184	92
665	184	92
666	185	92
667	185	92
668	185	91
669	185	91
670	186	91
671	186	90
672	186	90
673	186	90
674	187	90
675	187	89
676	187	89
677	188	89
678	188	89
679	188	88
680	188	88
681	189	88
682	189	88
683	190	87
684	190	87
685	190	87
686	190	86
687	191	86
688	191	86
689	191	86
690	191	85
691	192	85
692	192	85
693	192	84
694	192	84
695	192	84
696	193	83
697	193	83
698	193	83
699	193	83
700	194	82
701	194	82
702	194	82
703	194	81
704	195	81
705	195	81
706	195	81
707	196	80
708	196	80
709	196	80
710	196	79
711	197	79
712	197	79
713	197	79
714	197	78
715	198	78
716	198	78
717	198	78
718	198	77
719	199	77
720	199	77
721	199	76
722	200	76
723	200	76
724	200	76
725	200	75
726	201	75
727	201	75
728	201	74
729	201	74
730	202	74
731	202	74
732	202	73
733	203	73
734	203	73
735	203	73
736	204	72
737	204	72
738	204	72
739	205	72
740	205	71
741	205	71
742	206	71
743	206	71
744	206	70
745	207	70
746	207	70
747	207	69
748	207	69
749	208	69
750	208	69
751	208	68
752	208	68
753	209	68
754	209	67
755	209	67
756	210	67
757	210	67
758	210	66
759	210	66
760	211	66
761	211	65
762	211	65
763	211	65
764	211	65
765	212	64
766	212	64
767	212	64
768	212	63
